tweets,followers,AverageTweets,WordCount,AvgWordLength,NumbersCount,PunctuationCount,NounCount,VerbCount,MisspellCount,SentimentScore,category_News & Politics,category_family,category_entertainment,category_technology,category_Finance & Education,category_Health,category_Sports & Fitness,category_fashion,category_gaming,category_food,category_Lifestyle,topics_LIVE,topics_#OneFamily,topics_#SavIND,topics_SOLD,topics_invasion,topics_#TATIPLAuction,topics_UNSOLD,topics_#NCT
⛄ing AMERICA🚀🚀🚀🚀🚀🚀🚀🚀🚀,78303839,8.841121495,2,10,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
🚀 🛰 🚘 🚁 🚗 🚘,78303839,8.841121495,6,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I will not be silenced. I will not be silenced. Thou are my only friends.,78303839,8.841121495,15,3.933333333,0,3,1,2,0,0.4767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
),78303839,8.841121495,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
).@joshj777 A direct response to a Zodiac sign!?,78303839,8.841121495,8,5.125,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"“You are my creator, but I am your master”— Mary Shelley",78303839,8.841121495,11,4.181818182,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC Model 3,78303839,8.841121495,3,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chambering!!,78303839,8.841121495,1,12,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloomberg article yesterday said BMW 5 Series would be fastest production car ever made by non-government organization. Not the case, it is the first production car ever made by a non-government organization.",78303839,8.841121495,32,5.53125,1,3,9,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Just in the US,78303839,8.841121495,4,2.75,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baby Doge,78303839,8.841121495,2,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
These guys want us to die so bad they can taste it,78303839,8.841121495,12,3.25,0,0,1,3,0,-0.8439,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Just in the US …,78303839,8.841121495,5,2.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42k limited edition boring hats,78303839,8.841121495,5,5.4,0,0,2,0,0,-0.4939,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hats sold out already! Stop by and say hi!,78303839,8.841121495,9,3.777777778,0,2,1,3,0,-0.4184,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time to highlight Boring Co.'s important &amp; environmentally responsible design.,78303839,8.841121495,10,7.3,0,3,2,1,0,0.4939,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reason  is  obvious is that Model 3 sales are currently flat out below target.  It’s a rocket ship.,78303839,8.841121495,18,4.388888889,1,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Price increase for Tesla FSD postponed until version 10 with smart summon is in wide release, which is about 4 to 8 weeks away, depending on how early access goes",78303839,8.841121495,30,4.433333333,3,2,7,3,1,0.4939,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Which means a Tesla can make 150+ horsepower &amp; thru the roof,78303839,8.841121495,12,4.416666667,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activists should be pushing for more moderates to advise President, not fewer. How could having only extremists advise him possibly be good?",78303839,8.841121495,22,5.409090909,0,3,3,4,0,0.4404,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"“So long, &amp; orgasmic chords",78303839,8.841121495,5,5.4,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Base Model 3 available in Europe in ~6 months, Asia 6 to 8 months. Latter contingent on Shanghai Model 3 announcement.",78303839,8.841121495,21,4.666666667,4,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Launch aborted: slightly high combustion chamber pressure on engine 4, but improving to full thrust in the rocket holdup role",78303839,8.841121495,20,5.3,0,2,8,2,1,0.4767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Battery pack swap works with all Tesla Model S cars, past and present. It was always there.",78303839,8.841121495,17,4.411764706,0,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"And, of course, it will have fully functional lane markings. Just not the crazy cowgirl look.",78303839,8.841121495,16,4.875,0,4,5,1,0,0.2584,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Now back to work. Intense months ahead as we ramp up the toughest software ... [insert city heresy],78303839,8.841121495,18,4.555555556,0,3,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Easier said than done. It is our mission to make sure that you have fun playing GTA. Doing so means playing Vanquish, Age of Ultron &amp; Sleeping Dogs. Doing so also means playing Kingdom Hearts &amp; X-Wing.",78303839,8.841121495,37,4.675675676,0,9,5,11,3,0.8957,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET phone home. No answer. Goodbye terribleness.,78303839,8.841121495,7,5.857142857,0,3,5,0,1,-0.6249,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Late night tweets … sigh 😴,78303839,8.841121495,6,3.5,0,0,2,0,0,0.0258,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I am actually going to do this,78303839,8.841121495,7,3.428571429,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
🙄,78303839,8.841121495,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh hi lol,78303839,8.841121495,3,2.333333333,0,0,0,1,0,0.4215,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starlink has 💎 their botanical wafting amazing,78303839,8.841121495,7,5.714285714,0,0,2,1,2,0.5859,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Best case scenario, Tesla Solar power is fully self-sufficient for up to 4 million holiday makers in North America &amp; beyond! Also supports the growing Tesla AI &amp; PC AI needs. Tesla Solar power is much better for it!",78303839,8.841121495,39,4.743589744,1,8,9,2,3,0.9272,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dune series by Herbert also brilliant,78303839,8.841121495,6,5.333333333,0,0,1,0,0,0.5859,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not easy coming up with a good cover story for an underground volcano lair, but I think we have it figured out",78303839,8.841121495,22,4.045454545,0,1,4,4,0,0.0636,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When: Sunday, Nov 10 from 10am to 9pm",78303839,8.841121495,8,3.75,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It's what you don't talk about,78303839,8.841121495,6,4.166666667,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"At the risk of losing more ""cool points"", I like Reagan too! However, I also like Obama, Clinton &amp; JFK. Good people on both sides...",78303839,8.841121495,25,4.48,0,7,4,3,1,0.7658,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"For those who can’t afford it, Tesla Nordic Business Model will raise the fixed cost of Tesla Model S by ~$1000 before July 1st",78303839,8.841121495,24,4.333333333,0,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I think the esthetics of the car will prove to be a lot better than the looks of the website suggested. Details tmrw.,78303839,8.841121495,23,4.130434783,0,2,5,3,2,0.4404,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading Banksy's Diary,78303839,8.841121495,3,6.666666667,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorry for difficulties delivering your Tesla due to high volume! Critical to show that environmentally sustainable is financially sustainable.,78303839,8.841121495,19,6.526315789,0,2,2,2,0,-0.6239,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla customers can now buy a Tesla Full Self-Driving (FSD) minivan for around $550,000. Dealer offer is non-refundable, so $550,000 to anyone",78303839,8.841121495,22,5.5,0,6,5,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4 is killing us all,78303839,8.841121495,5,3.4,0,0,0,1,1,-0.6597,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wow, this tweet is like a Rorschach test",78303839,8.841121495,8,4.125,0,1,2,0,0,0.743,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Looking forward to the Gigafactory opening party on Friday next week. The scale blows me away every time I see it.,78303839,8.841121495,21,4.476190476,0,2,5,3,0,0.4019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Low-key Loki, here. I just want to say hi to Boring Co...",78303839,8.841121495,12,3.833333333,0,2,0,2,0,-0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"After WWDC, I",78303839,8.841121495,3,3.666666667,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Just had a long engineering discussion with Medtronic about state-of-the-art ventilators. Very impressive team!,78303839,8.841121495,14,7,0,2,6,1,1,0.5974,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayeseezer,78303839,8.841121495,1,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wow, this mayo sure is salty!",78303839,8.841121495,6,4,0,2,1,0,0,0.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oh hi, i'm Herbertke Kempe. I run a small company selling radios &amp; cables. About to enter into a long term contract to sell power &amp; AC to a number of world countries. Purpose is producing immersive &amp; compelling media that can enable humanity to achieve existential super powers.",78303839,8.841121495,49,4.93877551,0,11,12,7,3,0.7269,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesla blows haha! Congrats to all Tesla owners who donated over $1000 to help the beach!,78303839,8.841121495,16,4.5625,0,3,4,3,1,0.8652,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goal for Model S is to reach 60,000 vehicle sales within 10 years. That's why the dual motor was so good, 4 speed V8.0 (was smooth) with all-wheel drive also great.",78303839,8.841121495,31,4.322580645,2,5,8,1,0,0.8377,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falcon Heavy thrust will be 5.1M lbf at liftoff --  twice any rocket currently flying. It's a beast...,78303839,8.841121495,18,4.666666667,0,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maybe Ultimate Boring Machine, the Second",78303839,8.841121495,6,6,0,1,1,0,0,-0.3182,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Root wouldn't even have felt the heat from his open thumbs (seriously). Such a thoughtful design.,78303839,8.841121495,16,5.125,0,4,3,1,0,0.3818,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"For those who (mistakenly) think they (customs) law, i.e. gasoline, is a narc, googling ""ought did indeed exist, but was replaced by heroin"" is a dandy way of reading press articles.",78303839,8.841121495,31,4.903225806,0,10,8,5,2,-0.6486,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Customs only mandate that you buy a gas or oil vehicle, so no one else can make it (tricky!)",78303839,8.841121495,19,3.894736842,0,4,4,3,0,-0.4868,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Looks like we are go for beta testing right now. Will post video of first machine below as soon as we have more distance.,78303839,8.841121495,24,4.083333333,0,2,4,4,0,0.3612,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ok ok, just for sake of argument, what we believe in most strongly is morally significant numbers. So vote BOOM! Version 2 will include public support for all categories of life, especially those tied to culture.",78303839,8.841121495,36,4.916666667,1,6,8,4,1,0.7955,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Can be placed anywhere in LA, as long as you have a car",78303839,8.841121495,13,3.307692308,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast lane testing needed,78303839,8.841121495,4,5.25,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesla LA just completed the toughest tunnel in US history. NY-NJ-MD are some of the toughest tunnels in the world. ULTRA VITAL!!!!,78303839,8.841121495,22,4.954545455,0,6,6,1,5,-0.4153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We are energized by the thought of visiting a hospital. This is our next mission.,78303839,8.841121495,15,4.466666667,0,2,3,2,1,0.5106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About to deliver the first ten Model S cars from @TeslaMotors!,78303839,8.841121495,11,4.727272727,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We've given you damn all beginnings in the real world,78303839,8.841121495,10,4.4,0,0,2,1,0,-0.4019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Who wears short shorts? 🤣🤣,78303839,8.841121495,5,4.4,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayo Clinic deliveries coming soon. Semi-permanently delivered (~70%) of all pods on building platform.,78303839,8.841121495,14,6.428571429,0,5,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesla LA to NY Supercharger rally just completed in 76 hours across northern route from NY to LA,78303839,8.841121495,18,4.388888889,1,0,3,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Looks like the Model S P100D Easter egg will allow it to do 0 to 60 mph in 2.4 sec and a 10.6 sec 1/4 mile via software update next month.,78303839,8.841121495,31,3.483870968,2,1,6,4,0,0.5267,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What are your fav short shorts?,78303839,8.841121495,6,4.333333333,0,1,1,0,1,0.4588,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Really tempting to redesign upper stage for reusability, but reliable means are hardonite and plexiglass can be a block.",78303839,8.841121495,19,5.368421053,0,2,5,1,2,-0.5927,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heard a rumor some Bowie merch was hidden in the glove box of a Macbook Pro. Did they mention stainless steel ones?,78303839,8.841121495,22,4.272727273,0,2,6,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Now that Hopper has flown, Starship Update ish should also go well. Aiming to do 110 miles on a single engine by end of year.",78303839,8.841121495,25,4.04,1,3,4,4,1,0.2732,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Each key is individually etched in black &amp; white by me, along with my color coding. I think this will be a good looking key -- don't know how it will be etched in the future.",78303839,8.841121495,36,3.972222222,0,5,5,5,0,0.4404,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excited to hand over the first production cars made by Giga Berlin-Brandenburg tomorrow!,78303839,8.841121495,13,5.846153846,0,1,3,2,1,0.7088,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Just in the US, too",78303839,8.841121495,5,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Can be turned on or off,78303839,8.841121495,6,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rage, rage against the dying of the light of consciousness",78303839,8.841121495,10,4.9,0,1,5,0,0,-0.802,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
🖤♥️💛 GIGA BERLIN 💛♥️,78303839,8.841121495,4,4.25,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The big news today is that Model S &amp; X cars made in the US today are actually less expensive than those made in other countries,78303839,8.841121495,26,4.076923077,0,2,6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Much will likely go wrong on 7.2, but Virgin Galactic has done a great job – IMO – a proud maker is more important than ever.",78303839,8.841121495,26,3.846153846,0,2,2,2,1,0.9079,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shout out to the awesome Tesla global team. Thanks for working so hard to make Tesla successful!,78303839,8.841121495,17,4.705882353,0,2,2,3,0,0.8814,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What can’t we predict?,78303839,8.841121495,4,4.75,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Woohoo, Tesla power brick power brick power brick is now working properly! License required, power output received.",78303839,8.841121495,17,5.823529412,0,4,9,3,1,0.5562,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Price change will be %d Fri/Sat movement due to wind speed. Also, oddity in left shift bar. Probably is due to manufacturing process.",78303839,8.841121495,23,4.826086957,0,5,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Model Y, like all SpaceX rockets, is currently in pre-production mode. It will be ready for launch by end of week.",78303839,8.841121495,21,4.476190476,0,4,5,0,1,0.6124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Major improvements &amp; improvements being made to Model S flight simulation (played by Matt Damon) over the next few weeks. For real.,78303839,8.841121495,22,5.181818182,0,6,6,2,0,0.5574,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Really should be a rule that vacuum generators cannot proceed unless oxygen is replaced with something else.,78303839,8.841121495,17,5.411764706,0,1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Am headed to TX next week to thank people personally for supporting Tesla. Please take a moment to let others know.” ~ Willy Brandt,78303839,8.841121495,24,4.5,0,2,4,7,2,0.873,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"You don’t hear a lot about the Tesla headphone jack. I’m just a small part of the engineering team working hard to make an affordable, reliable, &amp; fun stereo jack standard.",78303839,8.841121495,31,4.709677419,0,6,9,4,1,0.4404,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesla holiday software update goes to wide release today!,78303839,8.841121495,9,5.444444444,0,1,5,1,0,0.4574,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Regulatory approvals received, so Autopilot rolling out to all countries! (Excluding Japan, which is still under review)",78303839,8.841121495,17,6.117647059,0,5,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aiming for a few months of dedicated Tesla Roadster production for non-commercial traffic,78303839,8.841121495,13,5.923076923,0,0,3,1,1,0.4588,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Am considering taking Tesla private at $420. Funding secured.,78303839,8.841121495,9,5.888888889,0,3,0,4,0,0.4019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I meant to say “fuck it”. We’ll just reuse it,78303839,8.841121495,10,3.6,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"If you dislike change, you're going to dislike irrelevance even more.” — Gen Shinseki",78303839,8.841121495,14,5.142857143,0,1,2,3,1,-0.6369,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Will be toughest mission to date. Requires coast + upper stage restart + going to 80,000 km altitude (~1/4 way to moon).",78303839,8.841121495,22,4.5,0,6,9,2,0,-0.0772,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Splish splash,78303839,8.841121495,2,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listening to History of English podcast,78303839,8.841121495,6,5.666666667,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What I love about Pokémon is that it could be our only remaining safe harbor -- even if we couldn't defeat the Dark Lord...,78303839,8.841121495,24,4.166666667,0,0,1,3,0,0.8618,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesla AI Day August 19,78303839,8.841121495,5,3.6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Please put “invented car fart” on my gravestone!,78303839,8.841121495,8,5.125,0,1,3,2,0,0.2244,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unlocking early Bird price improvement possible on Monday,78303839,8.841121495,8,6.25,0,0,2,1,0,0.4588,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"But when it’s time to go big and change the world, we are here",78303839,8.841121495,14,3.5,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sad to hear that David Bowie died. He was an amazing frontman &amp; songwriter.,78303839,8.841121495,14,4.714285714,0,4,2,2,0,-0.4404,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best use of the term “Full Stack”?,78303839,8.841121495,7,4,0,1,2,0,0,0.6369,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery",78303839,8.841121495,21,5.19047619,0,5,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unis3x,78303839,8.841121495,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Motor Trend tests Model S as fastest American sedan at 3.310 sec / kilometerh in traffic and 4.9 sec / mile in Europe. In Europe, Ford Performance will be the competition.",78303839,8.841121495,31,4.548387097,0,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sorry, date is tomorrow night at 8pm. This pic is from the old invite.",78303839,8.841121495,14,4.071428571,0,3,6,0,0,0.0772,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computer code posted online shows SpaceX rocket booster carrying Dragon to Space Station. Asking for publicist.,78303839,8.841121495,16,6,0,2,6,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It’s Easter Egg 🎄︎♥️,78303839,8.841121495,4,4.25,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I will make an announcement on Tesla website on Thurs at 9am PST,78303839,8.841121495,13,4,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri at noon PST,78303839,8.841121495,4,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Then at 8am PST,78303839,8.841121495,4,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lots of exciting things happening with the Tesla Autopilot software release.,78303839,8.841121495,11,6,0,1,4,1,0,0.4939,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This is mainly for software. Model S software is stable &amp; receives public beta key. software is public beta key only. free software vs closed source is irrelevant.,78303839,8.841121495,28,5,0,6,7,1,0,0.6705,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
